SUBSTUDY,Collection Agency,PARAMETER,Samples,Blanks,Blank > MDL,Value < Blank 10x,Blank Hits,% Blank Hits
L8FEBOG,,CHLOROPHYLL A,40,2,40,0,0,0%
L8FEBOG,,No Bottle,2,0,NA,0,0,0%
L8FEBOG,,OPO4,40,2,32,16,8,20%
L8FEBOG,,PHEOPHYTIN A,40,2,40,0,0,0%
L8FEBOG,,TDPO4,40,2,40,13,13,32%
L8FEBOG,,TPO4,257,7,257,108,108,42%
L8FEBOG,,TSS,40,2,26,39,25,62%
L8FEBOG,,Turbidity,40,2,40,0,0,0%
L8FEBOG,,VSS,40,2,11,40,11,28%
L8FEBOG,,NA,40,2,40,1,1,2%
STA CELL,,ALKA,58,7,0,0,0,0%
STA CELL,,APA,58,7,0,50,0,0%
STA CELL,,CA,58,7,0,0,0,0%
STA CELL,,CHLOROPHYLL A,58,7,0,0,0,0%
STA CELL,,CHLOROPHYLL B,58,7,0,9,0,0%
STA CELL,,CL,58,7,0,0,0,0%
STA CELL,,COLOR,58,7,0,0,0,0%
STA CELL,,DOC,58,7,0,0,0,0%
STA CELL,,HARDNESS,58,7,0,0,0,0%
STA CELL,,K,58,7,0,0,0,0%
STA CELL,,MG,58,7,0,0,0,0%
STA CELL,,NH4,58,7,0,49,0,0%
STA CELL,,NOX,58,7,7,58,7,12%
STA CELL,,OPO4,58,7,0,50,0,0%
STA CELL,,PHEOPHYTIN A,58,7,0,1,0,0%
STA CELL,,SO4,58,7,0,5,0,0%
STA CELL,,TDPO4,58,7,0,44,0,0%
STA CELL,,TDS,58,7,0,0,0,0%
STA CELL,,TDSAL,58,7,0,58,0,0%
STA CELL,,TDSFE,58,7,0,19,0,0%
STA CELL,,TN,58,7,0,0,0,0%
STA CELL,,TOC,58,7,0,0,0,0%
STA CELL,,TOT AL,58,7,0,54,0,0%
STA CELL,,TOTFE,58,7,0,13,0,0%
STA CELL,,TPO4,58,7,0,16,0,0%
STA CELL,,TSS,58,7,0,58,0,0%
