SUBSTUDY,Collection Agency,PARAMETER,Samples,FCEB,FD,FB,RS,EB,Total Blanks,Blank %
L8FEBOG,,ALKA,255,14,0,0,2,2,16,6%
L8FEBOG,,CA,255,14,0,0,2,2,16,6%
L8FEBOG,,CHLOROPHYLL A,80,4,0,0,0,0,4,5%
L8FEBOG,,CL,254,14,0,0,2,2,16,6%
L8FEBOG,,DOC,218,11,0,0,2,2,13,6%
L8FEBOG,,HARDNESS,255,14,0,0,2,2,16,6%
L8FEBOG,,K,255,14,0,0,2,2,16,6%
L8FEBOG,,MG,255,14,0,0,2,2,16,6%
L8FEBOG,,"NA",255,14,0,0,2,2,16,6%
L8FEBOG,,NH4,255,14,0,0,2,2,16,6%
L8FEBOG,,No Bottle,4,0,0,0,0,0,0,0%
L8FEBOG,,NOX,255,14,0,0,2,2,16,6%
L8FEBOG,,OPO4,334,18,0,0,2,2,20,6%
L8FEBOG,,PHEOPHYTIN A,80,4,0,0,0,0,4,5%
L8FEBOG,,SO4,254,14,0,0,2,2,16,6%
L8FEBOG,,TDPO4,335,18,0,0,2,2,20,6%
L8FEBOG,,TN,255,14,0,0,2,2,16,6%
L8FEBOG,,TPO4,335,19,0,1,2,2,22,7%
L8FEBOG,,TSS,281,14,0,0,2,0,14,5%
L8FEBOG,,Turbidity,80,4,0,0,0,0,4,5%
L8FEBOG,,VSS,80,4,0,0,0,0,4,5%
L8FEBOG,,NA,40,2,0,0,0,0,2,5%
STA CATTAIL,,CA,208,0,7,0,6,14,14,7%
STA CATTAIL,,HARDNESS,208,0,7,0,6,14,14,7%
STA CATTAIL,,K,208,0,7,0,6,14,14,7%
STA CATTAIL,,MG,208,0,7,0,6,14,14,7%
STA CATTAIL,,NH4,208,0,7,0,6,14,14,7%
STA CATTAIL,,NOX,208,0,7,0,6,14,14,7%
STA CATTAIL,,OPO4,208,0,7,0,6,14,14,7%
STA CATTAIL,,TDPO4,208,0,7,0,6,14,14,7%
STA CATTAIL,,TN,208,0,7,0,6,14,14,7%
STA CATTAIL,,TOC,208,0,7,0,6,14,14,7%
STA CATTAIL,,TPO4,208,0,7,0,6,14,14,7%
PFLUX,,CA,256,0,1,0,0,21,21,8%
PFLUX,,DOC,256,0,1,0,0,21,21,8%
PFLUX,,HARDNESS,256,0,1,0,0,21,21,8%
PFLUX,,K,256,0,1,0,0,21,21,8%
PFLUX,,MG,256,0,1,0,0,21,21,8%
PFLUX,,NH4,256,0,1,0,0,21,21,8%
PFLUX,,NO2,248,0,1,0,0,15,15,6%
PFLUX,,NO3,245,0,1,0,0,15,15,6%
PFLUX,,NOX,248,0,1,0,0,19,19,8%
PFLUX,,OPO4,256,0,1,0,0,21,21,8%
PFLUX,,SO4,256,0,1,0,0,21,21,8%
PFLUX,,TDN,247,0,1,0,0,18,18,7%
PFLUX,,TDPO4,248,0,1,0,0,19,19,8%
PFLUX,,TDSAL,8,0,0,0,0,2,2,25%
PFLUX,,TDSFE,8,0,0,0,0,2,2,25%
PFLUX,,TN,255,0,1,0,0,20,20,8%
PFLUX,,TOC,248,0,1,0,0,19,19,8%
PFLUX,,TOT AL,8,0,0,0,0,2,2,25%
PFLUX,,TOTFE,8,0,0,0,0,2,2,25%
PFLUX,,TPO4,256,0,1,0,0,21,21,8%
PFLUX,DBE,ALKA,13,0,0,0,0,2,2,15%
PFLUX,DBE,APA,1,0,0,0,0,0,0,0%
PFLUX,DBE,CA,1293,0,98,0,0,109,109,8%
PFLUX,DBE,CHLOROPHYLL A,13,0,0,0,0,2,2,15%
PFLUX,DBE,CHLOROPHYLL B,12,0,0,0,0,2,2,17%
PFLUX,DBE,CL,13,0,0,0,0,2,2,15%
PFLUX,DBE,COLOR,13,0,0,0,0,2,2,15%
PFLUX,DBE,DOC,1031,0,82,0,0,85,85,8%
PFLUX,DBE,HARDNESS,1293,0,98,0,0,109,109,8%
PFLUX,DBE,K,1293,0,98,0,0,109,109,8%
PFLUX,DBE,MG,1293,0,98,0,0,109,109,8%
PFLUX,DBE,NH4,1031,0,82,0,0,85,85,8%
PFLUX,DBE,NOX,792,0,62,0,0,65,65,8%
PFLUX,DBE,OPO4,1419,0,126,0,0,183,183,13%
PFLUX,DBE,PHEOPHYTIN A,13,0,0,0,0,2,2,15%
PFLUX,DBE,SO4,13,0,0,0,0,2,2,15%
PFLUX,DBE,TDN,1018,0,82,0,0,83,83,8%
PFLUX,DBE,TDPO4,1420,0,126,0,0,183,183,13%
PFLUX,DBE,TDS,19,0,0,0,0,8,8,42%
PFLUX,DBE,TDSAL,1,0,0,0,0,0,0,0%
PFLUX,DBE,TDSFE,1,0,0,0,0,0,0,0%
PFLUX,DBE,TN,1028,0,82,0,0,85,85,8%
PFLUX,DBE,TOC,7,0,0,0,0,6,6,86%
PFLUX,DBE,TOT AL,7,0,0,0,0,6,6,86%
PFLUX,DBE,TOTFE,19,0,0,0,0,8,8,42%
PFLUX,DBE,TPO4,1361,0,102,0,0,114,114,8%
PFLUX,DBE,TSS,19,0,0,0,0,8,8,42%
PFLUX,WMD,ALKA,572,0,0,0,0,95,95,17%
PFLUX,WMD,APA,524,0,0,0,0,87,87,17%
PFLUX,WMD,CA,614,0,0,0,0,101,101,16%
PFLUX,WMD,CHLOROPHYLL A,572,0,0,0,0,94,94,16%
PFLUX,WMD,CHLOROPHYLL B,64,0,0,0,0,10,10,16%
PFLUX,WMD,CL,572,0,0,0,0,94,94,16%
PFLUX,WMD,COLOR,572,0,0,0,0,94,94,16%
PFLUX,WMD,DOC,602,0,3,0,0,98,98,16%
PFLUX,WMD,HARDNESS,614,0,0,0,0,101,101,16%
PFLUX,WMD,K,614,0,0,0,0,101,101,16%
PFLUX,WMD,MG,614,0,0,0,0,101,101,16%
PFLUX,WMD,NH4,590,0,0,0,0,97,97,16%
PFLUX,WMD,NO2,18,0,0,0,0,2,2,11%
PFLUX,WMD,NO3,18,0,0,0,0,2,2,11%
PFLUX,WMD,NOX,590,0,0,0,0,97,97,16%
PFLUX,WMD,OPO4,638,0,0,0,0,104,104,16%
PFLUX,WMD,PHEOPHYTIN A,572,0,0,0,0,93,93,16%
PFLUX,WMD,SO4,590,0,0,0,0,96,96,16%
PFLUX,WMD,TDN,18,0,0,0,0,2,2,11%
PFLUX,WMD,TDPO4,608,0,0,0,0,100,100,16%
PFLUX,WMD,TDS,565,0,0,0,0,94,94,17%
PFLUX,WMD,TDSAL,381,0,0,0,0,63,63,17%
PFLUX,WMD,TDSFE,381,0,0,0,0,63,63,17%
PFLUX,WMD,TN,614,0,0,0,0,149,149,24%
PFLUX,WMD,TOC,428,0,3,0,0,118,118,28%
PFLUX,WMD,TOT AL,530,0,0,0,0,88,88,17%
PFLUX,WMD,TOTFE,596,0,0,0,0,99,99,17%
PFLUX,WMD,TPO4,638,0,0,0,0,304,304,48%
PFLUX,WMD,TSS,602,0,0,0,0,99,99,16%
