"","SID","FLDSID","SDATE","SITE","SUBSITE","REGION","FQC","TYPE","SUBTYPE","STUDY","SUBSTUDY","DEPTH","FLDCOMMENT","QCFLAG","FLDMETHOD","QCCOMMENT","LQC","HABITAT","DATAFILE","SPECIES","COMPONENT","LABNAME","LABSID","STORET","PARAMETER","LABAID","ADATE","RESULT","UNIT","MDL","PQL","REMARK","LABCOMMENT","QCFLAG.1","SID.1"
"1",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,915,"CA","SM3120B",2019-08-07 12:18:00,84.2,"mg/L",0.3,1.2,NA,NA,NA,2028669
"2",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,905,"HARDNESS","SM2340B",2019-08-07 12:18:00,305.6,"mg/L",1,4,NA,NA,NA,2028669
"3",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,935,"K","SM3120B",2019-08-07 12:18:00,10.1,"mg/L",0.1,0.4,NA,NA,NA,2028669
"4",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,925,"MG","SM3120B",2019-08-07 12:18:00,23.1,"mg/L",0.1,0.4,NA,NA,NA,2028669
"5",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,930,NA,"SM3120B",2019-08-07 12:18:00,90.4,"mg/L",0.4,1.6,NA,NA,NA,2028669
"6",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,608,"NH4","SM4500NH3H",2019-08-06 12:08:00,0.09,"mg/L",0.005,0.01,NA,NA,NA,2028669
"7",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,631,"NOX","SM4500NO3F",2019-08-06 12:08:00,0.005,"mg/L",0.005,0.01,"I",NA,NA,2028669
"8",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,671,"OPO4","SM4500PF",2019-07-25 15:17:00,0.006,"mg/L",0.002,0.008,"I",NA,NA,2028669
"9",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,666,"TDPO4","SM4500PF",2019-08-05 11:53:00,0.018,"mg/L",0.002,0.004,NA,NA,NA,2028669
"10",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,97017,"TN","SM4500NC",2019-08-02 09:49:00,2.15,"mg/L",0.05,0.1,NA,NA,NA,2028669
"11",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,680,"TOC","SM5310B",2019-08-14 01:02:00,32.2,"mg/L",0.8,2,NA,NA,NA,2028669
"12",2028669,"P107344-14",2019-07-25 10:24:00,"STA1WC13OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761014,665,"TPO4","SM4500PF",2019-08-05 11:51:00,0.039,"mg/L",0.002,0.004,NA,NA,NA,2028669
"13",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,915,"CA","SM3120B",2019-08-07 12:19:00,85.1,"mg/L",0.3,1.2,NA,NA,NA,2028670
"14",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,905,"HARDNESS","SM2340B",2019-08-07 12:19:00,315.6,"mg/L",1,4,NA,NA,NA,2028670
"15",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,935,"K","SM3120B",2019-08-07 12:19:00,10.7,"mg/L",0.1,0.4,NA,NA,NA,2028670
"16",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,925,"MG","SM3120B",2019-08-07 12:19:00,25,"mg/L",0.1,0.4,NA,NA,NA,2028670
"17",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,930,NA,"SM3120B",2019-08-07 12:19:00,98,"mg/L",0.4,1.6,NA,NA,NA,2028670
"18",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,608,"NH4","SM4500NH3H",2019-08-06 12:10:00,0.141,"mg/L",0.005,0.01,NA,NA,NA,2028670
"19",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,631,"NOX","SM4500NO3F",2019-08-06 12:10:00,0.005,"mg/L",0.005,0.01,"U",NA,NA,2028670
"20",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,671,"OPO4","SM4500PF",2019-07-25 15:18:00,0.006,"mg/L",0.002,0.008,"I",NA,NA,2028670
"21",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,666,"TDPO4","SM4500PF",2019-08-05 11:56:00,0.017,"mg/L",0.002,0.004,NA,NA,NA,2028670
"22",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,97017,"TN","SM4500NC",2019-08-02 09:52:00,2.3,"mg/L",0.05,0.1,NA,NA,NA,2028670
"23",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,680,"TOC","SM5310B",2019-08-14 01:28:00,35.1,"mg/L",0.8,2,NA,NA,NA,2028670
"24",2028670,"P107344-15",2019-07-25 10:41:00,"STA1WC14OUT",NA,"STA1W_NTC",NA,"SURFACE WATER",NA,"STA MONITORING","STA CATTAIL",0.5,NA,NA,"GRAB",NA,NA,NA,"NEW_71761-1908211255.csv",NA,NA,"SFWMD",71761015,665,"TPO4","SM4500PF",2019-08-05 11:54:00,0.041,"mg/L",0.002,0.004,NA,NA,NA,2028670
