"","SID","FLDSID","SDATE","SITE","SUBSITE","REGION","FQC","TYPE","SUBTYPE","STUDY","SUBSTUDY","DEPTH","FLDCOMMENT","QCFLAG","FLDMETHOD","QCCOMMENT","LQC","HABITAT","DATAFILE","SPECIES","COMPONENT","LABNAME","LABSID","STORET","PARAMETER","LABAID","ADATE","RESULT","UNIT","MDL","PQL","REMARK","LABCOMMENT","QCFLAG.1","SID.1"
"1",2035201,"W281092",2019-04-10 12:00:00,"1WC7-INV-Marl 7",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281092",NA,"TP","SM4500P-F",2019-04-17 00:00:00,40,"ug/L",3,12,NA,NA,NA,2035201
"2",2035204,"W281093",2019-04-10 13:30:00,"1WC7-Outflow",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281093",NA,"TP","SM4500P-F",2019-04-17 00:00:00,392,"ug/L",3,12,NA,NA,NA,2035204
"3",2035215,"W281094",2019-04-10 15:00:00,"1WC7_B5",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281094",NA,"TP","SM4500P-F",2019-04-17 00:00:00,45,"ug/L",3,12,NA,NA,NA,2035215
"4",2035205,"W281095",2019-04-10 11:36:00,"1WC7_C3",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281095",NA,"TP","SM4500P-F",2019-04-17 00:00:00,88,"ug/L",3,12,NA,NA,NA,2035205
"5",2035216,"W281096",2019-04-10 13:05:00,"1WC7_E4",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281096",NA,"TP","SM4500P-F",2019-04-17 00:00:00,79,"ug/L",3,12,NA,NA,NA,2035216
"6",2035209,"W281097",2019-04-10 13:36:00,"1WC7_F1",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281097",NA,"TP","SM4500P-F",2019-04-17 00:00:00,636,"ug/L",3,12,NA,NA,NA,2035209
"7",2035220,"W281098",2019-04-11 09:52:00,"1WC8_E1",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281098",NA,"TP","SM4500P-F",2019-04-17 00:00:00,43,"ug/L",3,12,NA,NA,NA,2035220
"8",2035226,"W281099",2019-04-11 11:06:00,"1WC8_C2",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281099",NA,"TP","SM4500P-F",2019-04-17 00:00:00,90,"ug/L",3,12,NA,NA,NA,2035226
"9",2035221,"W281100",2019-04-11 11:33:00,"1WC8_B3",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281100",NA,"TP","SM4500P-F",2019-04-17 00:00:00,155,"ug/L",3,12,NA,NA,NA,2035221
"10",2035210,"W281101",2019-04-11 12:46:00,"1WC8_A5",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281101",NA,"TP","SM4500P-F",2019-04-17 00:00:00,63,"ug/L",3,12,NA,NA,NA,2035210
"11",2035222,"W281102",2019-04-11 14:10:00,"1WC8_C5",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281102",NA,"TP","SM4500P-F",2019-04-17 00:00:00,130,"ug/L",3,12,NA,NA,NA,2035222
"12",2035213,"W281103",2019-04-11 14:50:00,"1WC8_E4",NA,"STA1W",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",NA,"Sample depth ~ 10cm.",NA,"GRAB",NA,NA,"STA MARSH","Agreement 4600003883 Del A2.1 and A2.2...xls",NA,NA,"DB LABS","W281103",NA,"TP","SM4500P-F",2019-04-17 00:00:00,122,"ug/L",3,12,NA,NA,NA,2035213
"13",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",410,"ALKA","SM2320B",2021-03-18 13:52:00,139,"mg/L CaCO3",1,4,NA,NA,NA,2035308
"14",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",49548,"APA","SFWMD 3160",2021-03-18 15:51:00,12.1,"nmo/min-mL",1,4,NA,NA,NA,2035308
"15",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",915,"CA","SM3120B",2021-04-07 12:18:00,42.5,"mg/L",0.3,1.2,NA,NA,NA,2035308
"16",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",941,"CL","SM4110B",2021-03-19 16:43:00,50,"mg/L",0.5,1,NA,NA,NA,2035308
"17",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",80,"COLOR","SM2120C",2021-03-18 13:24:00,71,"PCU",1,4,NA,NA,NA,2035308
"18",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",98011,"CHLOROPHYLL A","EPA 447.0",2021-03-26 17:26:00,3.51,"ug/L",0.018,0.071,NA,NA,NA,2035308
"19",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",98010,"CHLOROPHYLL B","EPA 447.0",2021-03-26 17:26:00,0.514,"ug/L",0.018,0.071,NA,NA,NA,2035308
"20",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",681,"DOC","SM5310B",2021-04-06 22:05:00,21.1,"mg/L",0.8,2,NA,NA,NA,2035308
"21",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",905,"HARDNESS","SM2340B",2021-04-07 12:18:00,134.8,"mg/L",1,4,NA,NA,NA,2035308
"22",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",935,"K","SM3120B",2021-04-07 12:18:00,4.4,"mg/L",0.1,0.4,NA,NA,NA,2035308
"23",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",925,"MG","SM3120B",2021-04-07 12:18:00,6.9,"mg/L",0.1,0.4,NA,NA,NA,2035308
"24",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",930,NA,"SM3120B",2021-04-07 12:18:00,37.5,"mg/L",0.4,1.6,NA,NA,NA,2035308
"25",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",608,"NH4","SM4500NH3H",2021-03-31 16:04:00,0.022,"mg/L",0.005,0.01,NA,NA,NA,2035308
"26",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",630,"NOX","SM4500NO3F",2021-03-31 16:04:00,0.005,"mg/L",0.005,0.01,"U",NA,NA,2035308
"27",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",671,"OPO4","SM4500PF",2021-03-18 11:46:00,0.002,"mg/L",0.002,0.008,"U",NA,NA,2035308
"28",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",98013,"PHEOPHYTIN A","EPA 447.0",2021-03-26 17:26:00,0.341,"ug/L",0.009,0.036,NA,NA,NA,2035308
"29",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",946,"SO4","SM4110B",2021-03-19 16:43:00,2,"mg/L",0.1,0.4,NA,NA,NA,2035308
"30",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",666,"TDPO4","SM4500PF",2021-03-29 10:19:00,0.01,"mg/L",0.002,0.004,NA,NA,NA,2035308
"31",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",515,"TDS","SM2540C",2021-03-18 13:54:00,265,"mg/L",25,100,NA,NA,NA,2035308
"32",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",1106,"TDSAL","SM3120B",2021-03-24 13:56:00,8,"ug/L",8,16,"U",NA,NA,2035308
"33",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",1046,"TDSFE","SM3120B",2021-03-24 13:56:00,15,"ug/L",3,6,NA,NA,NA,2035308
"34",2035308,"P123746-10",2021-03-17 10:19:00,"ST56C1B42",NA,"STA56",NA,"SURFACE WATER",NA,"STA P DYNAMICS","STA CELL",0.17,"Grab samples collected with peristaltic pump and processed in laboratory same day at ; Processed at 1553",NA,"GRAB",NA,NA,NA,"WMD_79079-2104191014.csv",NA,NA,"SFWMD","79079010",97017,"TN","SM4500NC",2021-03-19 11:38:00,1.39,"mg/L",0.05,0.1,NA,NA,NA,2035308
